tacq,bleaching(%),Tall,datalabel,opl0406avg,OPL_pk_fit (nm),t_pk,tau_b_fit
183,6.931732368613051,[ 22  43  65  95 132 154 183 309 419],DArep7,135.64487553036236,123.20530745306924,0.595,0.17346539482722095
184,6.982620210195968,[ 28  50  68  94 129 149 184 325 446],DArep6,142.67232464053976,130.5266065335062,0.6300000000000001,0.098430904
184,7.017904501013297,[ 36  63  91 120 155 184 215 359 495],DArep2,139.04350196197518,130.15286067030925,0.595,0.1180304053186107
194,7.069067600919057,[ 30  46  65  91 136 159 194 296 445],DArep3,140.28259092085273,129.34148743039373,0.595,0.1180686404202176
201,7.022551532974637,[ 23  57  80 112 146 169 201 323 453],DArep4,138.28561509915045,129.0143603251329,0.595,0.15772460487547454
215,7.079277004,[ 36  63  91 120 155 184 215 359 495],DArep2,149.15985975822298,137.9579835259962,0.595,0.069358794
295,7.756165593704916,[ 22  42  64  89 133 153 180 295 408],DArep8,142.16758281305118,131.34740770060603,0.5250000000000001,0.14357146055955183
296,7.726621814192796,[ 30  46  65  91 136 159 194 296 445],DArep3,149.12652407611617,136.9971238174881,0.595,0.077588324
303,7.8502865448707535,[ 27  46  69  96 135 156 303 427],DArep5,135.2318651410765,124.9805389788076,0.595,0.097758587
309,7.801276946444807,[ 22  43  65  95 132 154 183 309 419],DArep7,150.93462609967617,140.02833189398666,0.595,0.095524347
323,7.798514198904721,[ 23  57  80 112 146 169 201 323 453],DArep4,141.63383828664394,129.83572161735748,0.595,0.09749111299999999
325,7.849699210630098,[ 28  50  68  94 129 149 184 325 446],DArep6,138.26245858236373,127.74208402199926,0.56,0.11242924107126576
359,7.865096492628691,[ 36  63  91 120 155 184 215 359 495],DArep2,145.498785610087,133.39817884051132,0.6300000000000001,0.058118152
408,7.868551046162872,[ 22  42  64  89 133 153 180 295 408],DArep8,142.91730257586863,131.4583582363801,0.56,0.1348315787063852
419,7.868446914473817,[ 22  43  65  95 132 154 183 309 419],DArep7,147.15042427918982,136.54795711688678,0.595,0.074708615
427,7.901533050356726,[ 27  46  69  96 135 156 303 427],DArep5,136.6752105217473,126.14133267952062,0.56,0.1106364065681813
445,7.925590695082957,[ 30  46  65  91 136 159 194 296 445],DArep3,137.87123423437652,127.54963236657493,0.595,0.1156723138011654
446,7.896412622510447,[ 28  50  68  94 129 149 184 325 446],DArep6,151.41316265655593,138.4295277230638,0.595,0.0878405585
453,7.905446917826617,[ 23  57  80 112 146 169 201 323 453],DArep4,134.0761339419087,123.72858343690812,0.56,0.1188347619785109
495,7.920794424291986,[ 36  63  91 120 155 184 215 359 495],DArep2,146.2952921307868,133.22587545278407,0.665,0.03583177
